Household_ID,Location,Family_Size,Education_Level,Employment_Type,Has_Savings_Account,Uses_Savings_Group,Uses_Mobile_Money,Distance_to_Bank_km,Borrowing,Selling_Assets,Reducing_Spending,Financial_Stress_Score,Month,Year,Crop_Income,Livestock_Income,Off_Farm_Income,Food_Expenses,Healthcare_Expenses,Education_Expenses,Discretionary_Expenses,Total_Income
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,1,1,"41,479.00","10,218.00","22,426.00","33,593.00","6,718.00","10,077.00","16,796.00","74,123.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,2,1,"71,975.00","39,159.00","64,340.00","67,307.00","13,461.00","20,192.00","33,653.00","175,474.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,3,1,"51,500.00","10,150.00","38,033.00","31,871.00","6,374.00","9,561.00","15,935.00","99,683.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,4,1,"54,994.00","26,173.00","33,915.00","57,518.00","11,503.00","17,255.00","28,759.00","115,082.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,5,1,"15,425.00","23,218.00","22,095.00","30,281.00","6,056.00","9,084.00","15,140.00","60,738.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,6,1,"31,925.00","5,591.00","25,640.00","35,169.00","7,033.00","10,550.00","17,584.00","63,156.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,7,1,"87,516.00","28,314.00","29,827.00","50,676.00","10,135.00","15,202.00","25,338.00","145,657.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,8,1,"33,047.00","17,450.00","25,533.00","42,978.00","8,595.00","12,893.00","21,489.00","76,030.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,9,1,"34,965.00","30,789.00","40,430.00","57,159.00","11,431.00","17,147.00","28,579.00","106,184.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,10,1,"117,474.00","27,138.00","52,476.00","65,468.00","13,093.00","19,640.00","32,734.00","197,088.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,11,1,"30,661.00","41,143.00","34,191.00","63,037.00","12,607.00","18,911.00","31,518.00","105,995.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,12,1,"91,743.00","56,089.00","73,215.00","68,903.00","13,780.00","20,671.00","34,451.00","221,047.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,1,2,"133,817.00","22,068.00","70,224.00","121,747.00","24,349.00","36,524.00","60,873.00","226,109.00"
1,Mbale,2,Secondary,Subsistence Farming,1,0,0,43.87,0,0,0,38.17,2,2,"64,135.00","21,984.00","25,573.00","47,867.00","9,573.00","14,360.00","23,933.00","111,692.00"
